Image,Codec,Param,BPP,PSNR,SSIM,EncTime,DecTime
kodim09,JPEG,70.0,0.8582967122395834,36.136206297948064,0.929172837254896,0.005994907580316067,0.0022166669368743896
kodim09,JPEG,80.0,1.1167195638020833,37.44102635114964,0.9397716627916495,0.00666892621666193,0.0023462651297450066
kodim09,JPEG,90.0,1.7537638346354167,39.645589548889134,0.9549742040443571,0.004375491291284561,0.0026997094973921776
kodim09,JPEG,95.0,2.70123291015625,41.673104948288554,0.9678541338396709,0.006934047676622868,0.0027381163090467453
kodim09,BPG,40.0,0.2570597330729167,31.814743187127036,0.8786307834248598,0.2673748703673482,0.1888999966904521
kodim09,BPG,35.0,0.3786417643229167,34.577991184141126,0.9136030377583543,0.3012064592912793,0.18794673774391413
kodim09,BPG,31.0,0.5267130533854166,36.626620067618376,0.9305790125641465,0.32066046819090843,0.19584656227380037
kodim09,BPG,27.0,0.7869669596354166,38.583241278083534,0.9438348645290722,0.30788198951631784,0.22980250138789415
kodim09,BPG,23.0,1.322021484375,40.64068039587663,0.9609549483627821,0.33969041518867016,0.249339553527534
kodim09,BPG,19.0,2.08282470703125,42.99931708564457,0.9765646913729991,0.35484826751053333,0.2348064025864005
kodim09,BPG,15.0,2.998291015625,45.055227455226714,0.984713936996089,0.39112468156963587,0.24135587271302938
kodim09,JPEG-XL,5.0,0.357177734375,33.78930241219888,0.9055232978560287,0.18285756465047598,0.07065926305949688
kodim09,JPEG-XL,4.5,0.39453125,34.22645767290589,0.9109659615763581,0.2112711789086461,0.08443953562527895
kodim09,JPEG-XL,3.5,0.4695231119791667,35.30916950176256,0.9206590249717065,0.16657411959022284,0.0687615443021059
kodim09,JPEG-XL,2.8,0.5694376627604166,36.33256038639154,0.9300938312584375,0.1439853012561798,0.07545001246035099
kodim09,JPEG-XL,1.7,0.8683878580729166,38.44456245456516,0.9455657925987749,0.18574577569961548,0.062081774696707726
kodim09,JPEG-XL,1.0,1.3680623372395833,40.47443939801254,0.9599207928809079,0.15205853059887886,0.08478831127285957
